date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:56	284/284	---MCZ	200	added ('OK')	text/plain	etag:W/%2296eb2584cede55e0648195aed21cb7cf%22	https://www.npmjs.com/robots.txt		(from )
22:07:56	28949/28949	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2021:07:55%20GMT	https://www.npmjs.com/	C:/Users/Luken/Desktop/npm%20copia/npm/www.npmjs.com/index.html	(from )
22:07:56	139487/139487	---MCZ	200	added ('OK')	text/css	etag:W/%226c7892b961e526af3cffcdc5ae189011%22	https://static.npmjs.com/styles.256e02682fe9329974db.css	C:/Users/Luken/Desktop/npm%20copia/npm/static.npmjs.com/styles.256e02682fe9329974db.css	(from https://www.npmjs.com/)
22:07:56	1759/1759	---M--	200	added ('OK')	image/png	etag:%22338e4905a2684ca96e08c7780fc68412%22	https://static.npmjs.com/338e4905a2684ca96e08c7780fc68412.png	C:/Users/Luken/Desktop/npm%20copia/npm/static.npmjs.com/338e4905a2684ca96e08c7780fc68412.png	(from https://www.npmjs.com/)
22:07:57	659/659	---M--	200	added ('OK')	image/png	etag:%227a7ffabbd910fc60161bc04f2cee4160%22	https://static.npmjs.com/7a7ffabbd910fc60161bc04f2cee4160.png	C:/Users/Luken/Desktop/npm%20copia/npm/static.npmjs.com/7a7ffabbd910fc60161bc04f2cee4160.png	(from https://www.npmjs.com/)
22:07:57	439/439	---M--	200	added ('OK')	image/png	etag:%2258a19602036db1daee0d7863c94673a4%22	https://static.npmjs.com/58a19602036db1daee0d7863c94673a4.png	C:/Users/Luken/Desktop/npm%20copia/npm/static.npmjs.com/58a19602036db1daee0d7863c94673a4.png	(from https://www.npmjs.com/)
22:07:58	527/527	---M--	200	added ('OK')	image/png	etag:%2234110fd7686e2c90a487ca98e7336e99%22	https://static.npmjs.com/34110fd7686e2c90a487ca98e7336e99.png	C:/Users/Luken/Desktop/npm%20copia/npm/static.npmjs.com/34110fd7686e2c90a487ca98e7336e99.png	(from https://www.npmjs.com/)
22:07:58	648/648	---M--	200	added ('OK')	image/png	etag:%223dc95981de4241b35cd55fe126ab6b2c%22	https://static.npmjs.com/3dc95981de4241b35cd55fe126ab6b2c.png	C:/Users/Luken/Desktop/npm%20copia/npm/static.npmjs.com/3dc95981de4241b35cd55fe126ab6b2c.png	(from https://www.npmjs.com/)
22:07:58	233/233	---M--	200	added ('OK')	image/png	etag:%22b0f1a8318363185cc2ea6a40ac23eeb2%22	https://static.npmjs.com/b0f1a8318363185cc2ea6a40ac23eeb2.png	C:/Users/Luken/Desktop/npm%20copia/npm/static.npmjs.com/b0f1a8318363185cc2ea6a40ac23eeb2.png	(from https://www.npmjs.com/)
22:07:58	794/794	---M--	200	added ('OK')	image/png	etag:%221996fcfdf7ca81ea795f67f093d7f449%22	https://static.npmjs.com/1996fcfdf7ca81ea795f67f093d7f449.png	C:/Users/Luken/Desktop/npm%20copia/npm/static.npmjs.com/1996fcfdf7ca81ea795f67f093d7f449.png	(from https://www.npmjs.com/)
22:07:59	375/375	---M--	200	added ('OK')	image/png	etag:%22f1786e9b7cba9753ca7b9c40e8b98f67%22	https://static.npmjs.com/f1786e9b7cba9753ca7b9c40e8b98f67.png	C:/Users/Luken/Desktop/npm%20copia/npm/static.npmjs.com/f1786e9b7cba9753ca7b9c40e8b98f67.png	(from https://www.npmjs.com/)
22:07:59	679/679	---M--	200	added ('OK')	image/png	etag:%225f6e93af5bf0f5dcdd1eecdac99f51ee%22	https://static.npmjs.com/5f6e93af5bf0f5dcdd1eecdac99f51ee.png	C:/Users/Luken/Desktop/npm%20copia/npm/static.npmjs.com/5f6e93af5bf0f5dcdd1eecdac99f51ee.png	(from https://www.npmjs.com/)
22:07:59	802/802	---M--	200	added ('OK')	image/png	etag:%22c426a1116301d1fd178c51522484127a%22	https://static.npmjs.com/c426a1116301d1fd178c51522484127a.png	C:/Users/Luken/Desktop/npm%20copia/npm/static.npmjs.com/c426a1116301d1fd178c51522484127a.png	(from https://www.npmjs.com/)
22:08:00	228/228	---M--	200	added ('OK')	image/png	etag:%22da3ab40fb0861d15c83854c29f5f2962%22	https://static.npmjs.com/da3ab40fb0861d15c83854c29f5f2962.png	C:/Users/Luken/Desktop/npm%20copia/npm/static.npmjs.com/da3ab40fb0861d15c83854c29f5f2962.png	(from https://www.npmjs.com/)
22:08:00	80616/80616	---MC-	200	added ('OK')	application/javascript	date:Mon,%2024%20Feb%202020%2021:08:00%20GMT	https://www.googletagmanager.com/gtm.js?id=GTM-PZL5X6M	C:/Users/Luken/Desktop/npm%20copia/npm/www.googletagmanager.com/gtmf756.js	(from https://www.npmjs.com/)
22:08:00	281/281	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2024%20Feb%202020%2021:08:00%20GMT	https://js.hs-scripts.com/5326678.js	C:/Users/Luken/Desktop/npm%20copia/npm/js.hs-scripts.com/5326678.js	(from https://www.npmjs.com/)
22:08:00	33519/33519	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2021:08:00%20GMT	https://www.npmjs.com/products	C:/Users/Luken/Desktop/npm%20copia/npm/www.npmjs.com/products.html	(from https://www.npmjs.com/)
22:08:02	33941/33941	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2021:08:02%20GMT	https://www.npmjs.com/products/pro	C:/Users/Luken/Desktop/npm%20copia/npm/www.npmjs.com/products/pro.html	(from https://www.npmjs.com/)
22:08:05	30197/30197	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2021:08:05%20GMT	https://www.npmjs.com/products/teams	C:/Users/Luken/Desktop/npm%20copia/npm/www.npmjs.com/products/teams.html	(from https://www.npmjs.com/)
22:08:07	71164/71164	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2021:08:07%20GMT	https://www.npmjs.com/products/enterprise	C:/Users/Luken/Desktop/npm%20copia/npm/www.npmjs.com/products/enterprise.html	(from https://www.npmjs.com/)
22:08:08	17586/17586	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2021:08:08%20GMT	https://www.npmjs.com/signup	C:/Users/Luken/Desktop/npm%20copia/npm/www.npmjs.com/signup.html	(from https://www.npmjs.com/)
22:08:09	16388/16388	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2021:08:09%20GMT	https://www.npmjs.com/login	C:/Users/Luken/Desktop/npm%20copia/npm/www.npmjs.com/login.html	(from https://www.npmjs.com/)
22:08:09	15019/15019	---M--	200	added ('OK')	image/png	etag:%22f3bf7aa51966ff5f6ef4b2b9be0ddd3c%22	https://static.npmjs.com/attachments/ck3uweazy72ye8874y9kkxnx1-gak.png	C:/Users/Luken/Desktop/npm%20copia/npm/static.npmjs.com/attachments/ck3uweazy72ye8874y9kkxnx1-gak.png	(from https://www.npmjs.com/)
22:08:09	4960/4960	---M--	200	added ('OK')	image/png	etag:%22fad844d58961c451786a33a3f5b47c9b%22	https://static.npmjs.com/attachments/ck3uwe3pf72xu8874etabgd42-free.png	C:/Users/Luken/Desktop/npm%20copia/npm/static.npmjs.com/attachments/ck3uwe3pf72xu8874etabgd42-free.png	(from https://www.npmjs.com/)
22:08:10	6731/6731	---M--	200	added ('OK')	image/png	etag:%22cecd88fb552c4e61876a855191614efb%22	https://static.npmjs.com/attachments/ck3uwfqaa730f88742ka723na-pro.png	C:/Users/Luken/Desktop/npm%20copia/npm/static.npmjs.com/attachments/ck3uwfqaa730f88742ka723na-pro.png	(from https://www.npmjs.com/)
22:08:10	5478/5478	---M--	200	added ('OK')	image/png	etag:%224cb740e6bd1066ee98d0643c20ffe723%22	https://static.npmjs.com/attachments/ck3uwfyy3mr8vc974k2kjnoyt-teams.png	C:/Users/Luken/Desktop/npm%20copia/npm/static.npmjs.com/attachments/ck3uwfyy3mr8vc974k2kjnoyt-teams.png	(from https://www.npmjs.com/)
22:08:10	3538/3538	---M--	200	added ('OK')	image/png	etag:%229a04790e1a2b5e190638d6540037a76f%22	https://static.npmjs.com/attachments/ck3uwdz2272xb8874zxys9s9r-enterprise.png	C:/Users/Luken/Desktop/npm%20copia/npm/static.npmjs.com/attachments/ck3uwdz2272xb8874zxys9s9r-enterprise.png	(from https://www.npmjs.com/)
22:08:10	4458/4458	---M--	200	added ('OK')	image/png	etag:%22674bd5049da8439fd9c12c55a1150907%22	https://static.npmjs.com/attachments/ck3uwfu50730r8874b7ah6by4-secure-js.png	C:/Users/Luken/Desktop/npm%20copia/npm/static.npmjs.com/attachments/ck3uwfu50730r8874b7ah6by4-secure-js.png	(from https://www.npmjs.com/)
22:08:11	438444/438444	---M--	200	added ('OK')	image/png	etag:%22abf53a31b2da4657a1a004ee9358551c%22	https://static.npmjs.com/attachments/ck3uwvv67mydydr74ea00ip4j-bg-stripes.png	C:/Users/Luken/Desktop/npm%20copia/npm/static.npmjs.com/attachments/ck3uwvv67mydydr74ea00ip4j-bg-stripes.png	(from https://www.npmjs.com/)
22:08:12	253488/253488	---M--	200	added ('OK')	image/png	etag:%2276883a513321229ebefdc3d72c7f0019%22	https://static.npmjs.com/attachments/ck49cu3ceh1sust74dkzkfn69-grey-logowall.png	C:/Users/Luken/Desktop/npm%20copia/npm/static.npmjs.com/attachments/ck49cu3ceh1sust74dkzkfn69-grey-logowall.png	(from https://www.npmjs.com/)
22:08:12	53515/53515	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2021:08:12%20GMT	https://www.npmjs.com/advisories	C:/Users/Luken/Desktop/npm%20copia/npm/www.npmjs.com/advisories.html	(from https://www.npmjs.com/)
22:08:13	1499388/1499388	---M--	200	added ('OK')	image/png	etag:%223dc2ca3d2e53fc894b904d917cf90015%22	https://static.npmjs.com/attachments/ck3uwg3a8731988744oecrjxu-weloveopensource-bg-800-2x.png	C:/Users/Luken/Desktop/npm%20copia/npm/static.npmjs.com/attachments/ck3uwg3a8731988744oecrjxu-weloveopensource-bg-800-2x.png	(from https://www.npmjs.com/)
22:08:13	20/20	---M--	302	error ('Found')	text/plain	date:Mon,%2024%20Feb%202020%2021:08:13%20GMT	https://www.npmjs.com/resources/	C:/Users/Luken/Desktop/npm%20copia/npm/www.npmjs.com/resources/index.html	(from https://www.npmjs.com/)
22:08:14	26438/26438	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2021:08:14%20GMT	https://www.npmjs.com/support	C:/Users/Luken/Desktop/npm%20copia/npm/www.npmjs.com/support.html	(from https://www.npmjs.com/)
22:08:15	23908/23908	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2021:08:15%20GMT	https://www.npmjs.com/about	C:/Users/Luken/Desktop/npm%20copia/npm/www.npmjs.com/about.html	(from https://www.npmjs.com/)
22:08:16	20/20	---M--	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2024%20Feb%202020%2021:08:16%20GMT	https://www.npmjs.com/jobs	C:/Users/Luken/Desktop/npm%20copia/npm/www.npmjs.com/jobs	(from https://www.npmjs.com/)
22:08:18	20983/20983	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2021:08:18%20GMT	https://www.npmjs.com/events	C:/Users/Luken/Desktop/npm%20copia/npm/www.npmjs.com/events.html	(from https://www.npmjs.com/)
22:08:20	30044/30044	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2021:08:20%20GMT	https://www.npmjs.com/press	C:/Users/Luken/Desktop/npm%20copia/npm/www.npmjs.com/press.html	(from https://www.npmjs.com/)
22:08:22	23228/23228	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2021:08:22%20GMT	https://www.npmjs.com/npm-weekly	C:/Users/Luken/Desktop/npm%20copia/npm/www.npmjs.com/npm-weekly.html	(from https://www.npmjs.com/)
22:08:23	20/20	---M--	302	error ('Found')	text/plain	date:Mon,%2024%20Feb%202020%2021:08:23%20GMT	https://www.npmjs.com/policies/	C:/Users/Luken/Desktop/npm%20copia/npm/www.npmjs.com/policies/index.html	(from https://www.npmjs.com/)
22:08:23	23093/23093	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Feb%202020%2021:08:24%20GMT	https://www.npmjs.com/policies/terms	C:/Users/Luken/Desktop/npm%20copia/npm/www.npmjs.com/policies/terms.html	(from https://www.npmjs.com/)
